accession	species	niche	n_plasmid_contigs	has_plasmid	rep_types	mobility_types	total_plasmid_bp
GCA_046680405.1	Yersinia pestis	A	13	1	-|IncFIB|IncFII|rep_cluster_645|rep_cluster_2350	-	200796
GCA_046680345.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175246
GCA_046680325.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175246
GCA_046680305.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175246
GCA_046680285.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175919
GCA_046680265.1	Yersinia pestis	H	10	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	158182
GCA_046680245.1	Yersinia pestis	A	10	1	IncFII|-|IncFIB|rep_cluster_2350|rep_cluster_645	-	175871
GCA_046680205.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175246
GCA_046680225.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175246
GCA_046680165.1	Yersinia pestis	A	9	1	-|IncFIB|IncFII,rep_cluster_645|rep_cluster_2350	-	175350
GCA_046680185.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	174754
GCA_046680145.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175246
GCA_046680125.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175246
GCA_046680105.1	Yersinia pestis	A	11	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	206684
GCA_046680045.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175156
GCA_046680025.1	Yersinia pestis	A	10	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	175473
GCA_046680065.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175246
GCA_046680085.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175244
GCA_046680005.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175156
GCA_046679985.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	174844
GCA_046679925.1	Yersinia pestis	A	10	1	-|IncFIB|IncFII,rep_cluster_645|rep_cluster_2350	-	172344
GCA_046679945.1	Yersinia pestis	A	13	1	-|IncFIB|IncFII,rep_cluster_645|rep_cluster_2350	-	179697
GCA_046679965.1	Yersinia pestis	A	11	1	-|IncFIB|IncFII,rep_cluster_645|rep_cluster_2350	-	206599
GCA_046679905.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	180172
GCA_046679885.1	Yersinia pestis	A	11	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	180263
GCA_046679825.1	Yersinia pestis	A	11	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	206720
GCA_046679845.1	Yersinia pestis	A	11	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	175955
GCA_046679865.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	174709
GCA_046679785.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175246
GCA_046679805.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175246
GCA_046679745.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175246
GCA_046679725.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175850
GCA_046679765.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175850
GCA_046679685.1	Yersinia pestis	H	13	1	-|IncFIB|IncFII|rep_cluster_645|rep_cluster_2350	-	201461
GCA_046679705.1	Yersinia pestis	A	13	1	-|IncFIB|IncFII|rep_cluster_645|rep_cluster_2350	-	202082
GCA_046679655.1	Yersinia pestis	A	15	1	-|IncFIB|IncFII|rep_cluster_645|rep_cluster_2350	-	202404
GCA_046679645.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	167568
GCA_046679605.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175156
GCA_046679585.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	167523
GCA_046679625.1	Yersinia pestis	A	11	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	180608
GCA_046679565.1	Yersinia pestis	A	11	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	206663
GCA_046679545.1	Yersinia pestis	A	11	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	206532
GCA_046679505.1	Yersinia pestis	A	11	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	206622
GCA_046679525.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179608
GCA_046679485.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	174844
GCA_046679465.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175246
GCA_046679445.1	Yersinia pestis	A	10	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	172459
GCA_046679425.1	Yersinia pestis	A	10	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	172459
GCA_046679405.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	214521
GCA_046679385.1	Yersinia pestis	A	10	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	158274
GCA_046679365.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	158043
GCA_046679345.1	Yersinia pestis	A	11	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	158181
GCA_046679325.1	Yersinia pestis	A	11	1	-|IncFIB|IncFII|rep_cluster_2350|rep_cluster_645	-	157678
GCA_046679285.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	178766
GCA_046679265.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	167523
GCA_046679305.1	Yersinia pestis	A	11	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	206635
GCA_046679245.1	Yersinia pestis	A	10	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	180097
GCA_046679225.1	Yersinia pestis	A	11	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	175640
GCA_046679205.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175246
GCA_046679185.1	Yersinia pestis	A	11	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	175957
GCA_046679165.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179597
GCA_046679145.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179602
GCA_046679125.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	178941
GCA_046679065.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	178941
GCA_046679105.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179608
GCA_046679045.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179608
GCA_046679025.1	Yersinia pestis	A	10	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	172189
GCA_046679085.1	Yersinia pestis	H	11	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	175006
GCA_046679005.1	Yersinia pestis	H	10	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175463
GCA_046678985.1	Yersinia pestis	H	11	1	-|IncFIB|IncFII,rep_cluster_645|rep_cluster_2350	-	206547
GCA_046678945.1	Yersinia pestis	H	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175261
GCA_046678905.1	Yersinia pestis	H	11	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	206667
GCA_046678965.1	Yersinia pestis	A	11	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	176021
GCA_046678925.1	Yersinia pestis	A	13	1	-|IncFIB|IncFII|rep_cluster_645|rep_cluster_2350	-	201504
GCA_046678885.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179471
GCA_046678865.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175246
GCA_046678845.1	Yersinia pestis	A	10	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	175413
GCA_046678805.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	174754
GCA_046678785.1	Yersinia pestis	A	11	1	IncFII|-|IncFIB|rep_cluster_645	-	200165
GCA_046678825.1	Yersinia pestis	A	11	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	206703
GCA_046678765.1	Yersinia pestis	A	11	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	206579
GCA_046678745.1	Yersinia pestis	A	11	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	206663
GCA_046678725.1	Yersinia pestis	A	10	1	IncFII|-|IncFIB|rep_cluster_645	-	198859
GCA_046678705.1	Yersinia pestis	A	10	1	IncFII,rep_cluster_645|-|IncFIB|rep_cluster_2350	-	206857
GCA_046678685.1	Yersinia pestis	A	11	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	206624
GCA_046678665.1	Yersinia pestis	A	10	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	158274
GCA_046678645.1	Yersinia pestis	A	7	1	-|rep_cluster_645|IncFII|rep_cluster_2350	-	78418
GCA_046678625.1	Yersinia pestis	A	9	1	IncFII,rep_cluster_645|-|IncFIB|rep_cluster_2350	-	172657
GCA_046678605.1	Yersinia pestis	A	12	1	IncFII|-|IncFIB|rep_cluster_2350|rep_cluster_645	-	176987
GCA_046678585.1	Yersinia pestis	A	11	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	176106
GCA_046678565.1	Yersinia pestis	A	11	1	IncFII,rep_cluster_645|-|IncFIB|rep_cluster_2350	-	184964
GCA_046678545.1	Yersinia pestis	A	11	1	IncFII,rep_cluster_645|-|IncFIB|rep_cluster_2350	-	185052
GCA_046678525.1	Yersinia pestis	A	11	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	176367
GCA_046678485.1	Yersinia pestis	A	11	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	176298
GCA_046678505.1	Yersinia pestis	A	11	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	176368
GCA_046678465.1	Yersinia pestis	A	19	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	210954
GCA_046678445.1	Yersinia pestis	A	10	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	158274
GCA_046678425.1	Yersinia pestis	A	10	1	IncFII,rep_cluster_645|IncFIB|-|rep_cluster_2350	-	157920
GCA_046678405.1	Yersinia pestis	A	10	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	158274
GCA_046678365.1	Yersinia pestis	A	9	1	IncFII|IncFIB|-|rep_cluster_645|rep_cluster_2350	-	179974
GCA_046678385.1	Yersinia pestis	A	12	1	-|IncFIB|IncFII|rep_cluster_645|rep_cluster_2350	-	202319
GCA_046678345.1	Yersinia pestis	A	13	1	-|IncFIB|IncFII|rep_cluster_645|rep_cluster_2350	-	201504
GCA_046678325.1	Yersinia pestis	A	12	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	206629
GCA_046678305.1	Yersinia pestis	A	14	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	180536
GCA_046678285.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179603
GCA_046678265.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179597
GCA_046678245.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179598
GCA_046678225.1	Yersinia pestis	A	11	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	180412
GCA_046678185.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179602
GCA_046678145.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179597
GCA_046678205.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179602
GCA_046678165.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179597
GCA_046678125.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	178935
GCA_046678085.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179597
GCA_046678045.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179602
GCA_046678065.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179597
GCA_046678105.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179602
GCA_046678025.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179597
GCA_046677945.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179602
GCA_046677985.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	180608
GCA_046677965.1	Yersinia pestis	A	13	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179503
GCA_046677995.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	178940
GCA_046677925.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179602
GCA_046677895.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179602
GCA_046677845.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179602
GCA_046677885.1	Yersinia pestis	A	14	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	180540
GCA_046677865.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179597
GCA_046677825.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179597
GCA_046697885.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179597
GCA_046697865.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179602
GCA_046697825.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179608
GCA_046697845.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179597
GCA_046697685.1	Yersinia pestis	A	13	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179508
GCA_046697665.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179603
GCA_046697625.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179597
GCA_046697725.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	178935
GCA_046697645.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179947
GCA_046697425.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179608
GCA_046697445.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	178003
GCA_046697485.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179603
GCA_046697465.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179608
GCA_046697505.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179952
GCA_046697325.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179608
GCA_046697385.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179603
GCA_046697335.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	178946
GCA_046697405.1	Yersinia pestis	A	14	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	180551
GCA_046697345.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	178941
GCA_046697225.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179603
GCA_046697245.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179603
GCA_046697305.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179608
GCA_046697265.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	180609
GCA_046697285.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179603
GCA_046697205.1	Yersinia pestis	A	13	1	-|IncFIB|IncFII|rep_cluster_645|rep_cluster_2350	-	201578
GCA_046697165.1	Yersinia pestis	A	13	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179509
GCA_046697185.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179603
GCA_046697145.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179603
GCA_046697125.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179597
GCA_046697105.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	178941
GCA_046697085.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179947
GCA_046697065.1	Yersinia pestis	A	13	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179504
GCA_046697035.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175216
GCA_046697005.1	Yersinia pestis	A	11	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	175205
GCA_046697025.1	Yersinia pestis	A	11	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	175955
GCA_046696945.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175306
GCA_046696925.1	Yersinia pestis	A	10	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	175733
GCA_046696985.1	Yersinia pestis	A	11	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	176301
GCA_046696965.1	Yersinia pestis	A	11	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	175955
GCA_046696905.1	Yersinia pestis	A	10	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	172501
GCA_046696805.1	Yersinia pestis	A	10	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	167835
GCA_046696865.1	Yersinia pestis	A	10	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	167833
GCA_046696845.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179603
GCA_046696825.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179608
GCA_046696885.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179608
GCA_046696785.1	Yersinia pestis	A	11	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	180698
GCA_046696705.1	Yersinia pestis	A	11	1	-|IncFIB|IncFII|rep_cluster_2350|rep_cluster_645	-	158594
GCA_046696725.1	Yersinia pestis	A	10	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	158229
GCA_046696745.1	Yersinia pestis	A	11	1	-|IncFIB|IncFII|rep_cluster_2350|rep_cluster_645	-	158639
GCA_046696765.1	Yersinia pestis	A	10	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	158273
GCA_046696685.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179602
GCA_046696645.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	178901
GCA_046696565.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179608
GCA_046696585.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	178946
GCA_046696525.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179603
GCA_046696625.1	Yersinia pestis	A	11	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	180412
GCA_046696445.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	178935
GCA_046696425.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	181304
GCA_046696365.1	Yersinia pestis	A	11	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	175957
GCA_046696335.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	181315
GCA_046696245.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179603
GCA_046696305.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179608
GCA_046696225.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179603
GCA_046696145.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179598
GCA_046696165.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179608
GCA_046696045.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179608
GCA_046696005.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	180329
GCA_046695965.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179603
GCA_046696105.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179607
GCA_046695985.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	178946
GCA_046695905.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	178946
GCA_046695865.1	Yersinia pestis	A	10	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175757
GCA_046695845.1	Yersinia pestis	A	11	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	206724
GCA_046695785.1	Yersinia pestis	A	11	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	206728
GCA_046695705.1	Yersinia pestis	A	11	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	181042
GCA_046693805.1	Yersinia pestis	A	11	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	176498
GCA_046693825.1	Yersinia pestis	A	12	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	184212
GCA_046693765.1	Yersinia pestis	A	12	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	184161
GCA_046693665.1	Yersinia pestis	A	11	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	176495
GCA_046693645.1	Yersinia pestis	A	10	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	158274
GCA_046693485.1	Yersinia pestis	A	10	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	157612
GCA_046693605.1	Yersinia pestis	A	10	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	158618
GCA_046693545.1	Yersinia pestis	A	9	1	IncFII|IncFIB|-|rep_cluster_645|rep_cluster_2350	-	179974
GCA_046693495.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	178935
GCA_046693445.1	Yersinia pestis	A	14	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	180540
GCA_046693265.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179595
GCA_046693315.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	178940
GCA_046693305.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179655
GCA_046693365.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179608
GCA_046693225.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179603
GCA_046693125.1	Yersinia pestis	A	11	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	180418
GCA_046693185.1	Yersinia pestis	A	14	1	-|IncX3|IncFIB|IncFII|rep_cluster_645|rep_cluster_2350	-	241748
GCA_046693025.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	178941
GCA_046693105.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	178941
GCA_046693165.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179602
GCA_046692875.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	179603
GCA_046692845.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	178935
